"marsh","NY1","50","N","N","cranberries, no grass","mµ∞éÛ","MS",-0-,1.
"salt marsh","SC11E","213.4","O","N",-0-,"Âs∑º∫{∞}lt$ımﬁ∫{∞}Û","MS",-0-,929.
"flats","SC11E","213.4","N","N",-0-,"f≈·Ωts","MS",-0-,929.
"mud flats","SC11E","213.4","O","N",-0-,"Âm∏ºd$ıf≈·Ωts","MS",-0-,929.
"bank","SC11E","213.4","N","N",-0-,"b·´{≤}Ók","MS",-0-,929.
"marsh","SC11E","213.4","N","N",-0-,"mﬁ∫{∞}Û","MS",-0-,929.
"marsh grass","SC11E","213.4","O","Y",-0-,"Âmﬁ∫{∞}Û$ıgÚá·∫{∞}s","MS","INA",929.
"marshes","SC11F","213.5","N","N",-0-,"mﬁ∫{∞}Û±øºz","MS",-0-,930.
"marsh","SC11F","213.5","N","N",-0-,"mﬁ∫{∞}Û","MS",-0-,930.
"marsh land","SC11F","213.5","O","N",-0-,"Âmﬁ∫{∞}Û$ıl·∫{∞}n","MS",-0-,930.
"salt marshes","SC11G!","213.7!","O","Y",-0-,"Âs∑º∫{∞}l$ımﬁ∫{∞}Û±øóz","MS","HRD",931.
"marsh land","SC11G!","213.7!","O","N",-0-,"Âmﬁ∫{∞}Û$ıl·∫{∞}n","MS",-0-,931.
"flats","SC11H!","213.8!","N","Y",-0-,"f≈è·Ωts","MS","HRD",932.
"marshes","SC11H!","213.8!","N","N",-0-,"mﬁ∫{∞}Û±øºz","MS",-0-,932.
"salt water","SC11H!","213.8!","O","Y",-0-,"Âs∑º∫{∞}lt$ıw∑º∫{∞}tê∞æ","MS","INA",932.
"marshes","SC11I!","213.9!","N","N","also along fresh rivers","mµ∫{∞}Û±øΩz","MS",-0-,933.
"marsh","SC11I!","213.9!","N","N","also along fresh rivers","mµ∫{∞}Û","MS",-0-,933.
"salt water marsh","SC11J!","213.10!","O","N","edge","Âs∑Ωº∫{∞}l$ıw∑º∫{∞}tê∞$Âmﬁ∫{∞}Û","MS",-0-,934.
"marsh","SC11J!","213.10!","N","N",-0-,"mﬁº∫{∞}Û","MS",-0-,934.
"marsh","SC11J!","213.10!","N","Y","""Boston or darkies¢","ma´æ∫{∞}Û","MS","HRD",934.
"NR","SC12A","214.1",-0-,"N",-0-,-0-,"MS",-0-,935.
"marsh","SC12B","214.2","N","N","on the salt","mµæ:{∞}Û","MS",-0-,936.
"marsh","SC12B","214.2","N","N","on the salt","mﬁº:{∞}Û","MS",-0-,936.
"on the salt","SC12B","214.2","Q","Y",-0-,"ı∑∫n$d±ø´$Âs∑´∫lt","MS","INA",936.
"marsh","SC13","213.6","N","N","always salt","mµæ∫∞Û","MS",-0-,937.
"marshes","SC14A","215.1","N","N","fresh or salt but usually salt; bulrushes, flags","mµ∫Û±øΩz","MS",-0-,938.
"tide water land","SC14B","215.2","O","N",-0-,"Ât`µº∫±ød$ıw∑Ω∫{∞}tê∞´$Âl·∫{∞}n","MS",-0-,939.
"marshy land","SC14B","215.2","O","N",-0-,"Âmﬁ∫{∞}Û±ø´º$ıl·∫{∞}n","MS",-0-,939.
"marsh land","SC15A","216.1","O","Y",-0-,"Âmµæ∫∞Û$ıl·∫{∞}n","MS","HES",940.
"marsh","SC15B","216.2","N","N","on coast","mﬁº∫{∞}Û","MS",-0-,941.
"NR","SC15C","216.3",-0-,"N",-0-,-0-,"MS",-0-,942.
"marsh","SC16N","N217","N","N",-0-,"mﬁ∫{∞}Û","MS",-0-,943.
"NR","SC16","217.1",-0-,"N",-0-,-0-,"MS",-0-,944.
"NR","SC17A","218.1",-0-,"N",-0-,-0-,"MS",-0-,945.
"NR","SC17B","218.2",-0-,"N",-0-,-0-,"MS",-0-,946.
"NR","SC17C","218.3",-0-,"N",-0-,-0-,"MS",-0-,947.
"marsh flats","SC17D","218.4","O","N","marsh grass","Âmµæ∫∞Û$ıf≈è≤Ω{∞}ts","MS",-0-,948.
"marsh grass","SC17D","218.4","O","Y",-0-,"Âmµæ∫∞Û$ıgÚá·{∞}s","MS","INA",948.
"marsh land","SC18N","N219","O","N","salt","Âmaæ∫{∞}Û$ıl·Ω∫{∞}n","MS",-0-,949.
"salt marsh","SC18N","N219","O","N",-0-,"Âs∑´º∫lt$ımaæ∫{∞}Û","MS",-0-,949.
"salt","SC18N","N219","N","Y",-0-,"s∑º∫{∞}lt","MS","INA",949.
"marsh","SC18A","219.1","N","N","salt water","mﬁº∫{∞}Û","MS",-0-,950.
"salt marsh","SC18A","219.1","O","N",-0-,"Âs∑º∫{∞}lt$ımﬁ∫{∞}Û","MS",-0-,950.
"marsh grass","SC18A","219.1","O","Y",-0-,"Âmﬁ∫{∞}Û$ıgr·Ω∫{∞}s","MS","INA",950.
"salt water","SC18A","219.1","O","Y",-0-,"Âs∑Ωº∫{∞}lt$ıwﬁ∫{∞}tê∞Ω","MS","INA",950.
"marshes","SC18B","219.2","N","N",-0-,"mﬁº∫{∞}Û±øºz","MS",-0-,951.
"salt marshes","SC18B","219.2","O","N",-0-,"Âs∑Ωº∫{∞}lt$ımﬁ∫{∞}Û±øºz{zè}","MS",-0-,951.
"marsh land","SC18C!","219.3(*)!","O","N",-0-,"Âmﬁ∫{∞}Û$ıl·´∫{≤}n{d}","MS",-0-,952.
"NA","SC18D!",-0-,-0-,"N",-0-,-0-,"MS",-0-,953.
"creek edge","SC19N","N220","O","N",-0-,"Âkr±k$≤∫d˙","MS",-0-,954.
"marsh","SC19N","N220","N","N","broader at mouth of creek","maæÛ","MS",-0-,954.
"beach edge","SC19N","N220","O","N","now","ÂbitÛ$≤∫d˙","MS",-0-,954.
"salt water marsh","SC19A","220.1","O","N",-0-,"Âs∑º∫{∞}lt$ıw∑ºÒ∞æ$Âmﬁ∫{∞}Û","MS",-0-,955.
"marsh land","SC19B","220.4","O","N",-0-,"Âmµ∫{∞}Û$ıl·∫{∞}n","MS",-0-,956.
"marsh land","SC19C","220.2(*)","O","N",-0-,"Âmﬁº∫{∞}Û$ıl·´{≤}n","MS",-0-,957.
"marshes","SC19C","220.2(*)","N","N","salt water","mﬁº∫{∞}Û±øºz{zè}","MS",-0-,957.
"salt water marsh","SC19D!","220.3!","O","N",-0-,"Âs∑∫{∞}lt$ıw∑∫Ò∞$Âmﬁº∫∞Û","MS",-0-,958.
"marsh","SC19D!","220.3!","N","N",-0-,"mﬁº∫{∞}Û","MS",-0-,958.
"NA","SC19E!",-0-,-0-,"N",-0-,-0-,"MS",-0-,959.
"marsh","SC20A","221.1","N","N","full of running water","mﬁ∫∞Û","MS",-0-,960.
"Red House Marsh","SC20A","221.1","O","N","dries up","Âr≤´d$ıhµ´ºos$Âmﬁé∫¥´Û","MS",-0-,960.
"marsh","SC20A","221.1","N","N","full of running water","mﬁ∫¥Û","MS","CNV",960.
"marsh","SC20B","221.2","N","N","on coast","mﬁé∫¥Û","MS",-0-,961.
"NR","SC20C","221.3",-0-,"N",-0-,-0-,"MS",-0-,962.
"tide flats","SC20D!","221.4!","O","N","on coast","Âtaæ±ø›d$ıflè·{≤}ts","MS",-0-,963.
"marshes","SC20D!","221.4!","N","N","on coast","mﬁº∫∞Û±øºz","MS",-0-,963.
"marsh","SC20D!","221.4!","N","N","on coast","mﬁº∫∞Û","MS",-0-,963.
"NR","SC21A","222.1",-0-,"N",-0-,-0-,"MS",-0-,964.
"NR","SC21B","222.2",-0-,"N",-0-,-0-,"MS",-0-,965.
"marsh meadow","SC22N","N223","O","N","no trees","Âm·∫Û$m≤{∞}d∞","MS",-0-,966.
"marsh","SC22A","223.1","N","N","grassy","mﬁ∫{∞}Û","MS",-0-,967.
"marsh","SC22C!","223.3!","N","N",-0-,"mﬁ∫{∞´}Û","MS",-0-,969.
"marsh","SC23A","224.1","N","N",-0-,"mµæ∫∞Û","MS",-0-,970.
"marsh","SC23B","224.2","N","N","growed up in weeds and underbrush","mµæ∫¥Û","MS",-0-,971.
-0-,"SC23B","224.2",-0-,"Y",-0-,"Â¶Ω{∞}nd∞ıbÚ≥´º{±ø}Û","MS","INA/RN2",971.
"growed up in weeds and underbrush","SC23B","224.2","E","Y",-0-,"ÂgÚáo∫{π}d$ı¶Ω{∞}p$±øºn$Âwi∫{±ø}dz$∞´n","MS","INA/RN1",971.
"NR","SC23C","224.3",-0-,"N",-0-,-0-,"MS",-0-,972.
"NR","SC23D","224.4",-0-,"N",-0-,-0-,"MS",-0-,973.
"salt marsh","SC23E!","224.5!","O","N","on coast","Âs∑Ω∫{∞}lt$ımﬁ∫{∞}Û","MS",-0-,974.
"marsh","SC23E!","224.5!","N","N","on coast","mﬁº∫∞›Û","MS",-0-,974.
"marsh","SC23E!","224.5!","N","N","on coast","mﬁ∫{∞}Û","MS",-0-,974.
"NR","SC24N","N225",-0-,"N",-0-,-0-,"MS",-0-,975.
"marsh places","SC24A","225.1","O","N",-0-,"ÂmﬁºrÛ$ıple∫s±øz","MS",-0-,976.
"marsh land","SC24B","225.11","O","N","marshy","Âmµæ∫∞éÛ$ıl·´{∞}n","MS",-0-,977.
"marshy","SC24B","225.11","A","Y",-0-,"mµæ∫¥Û±i","MS","INA",977.
"marsh land","SC24C","225.2","O","N","grass","Âmµæ∫∞Û$ıl·∫{∞}n","MS",-0-,978.
"NR","SC24D!","225.3!",-0-,"N",-0-,-0-,"MS",-0-,979.
"marsh","SC25A","226.1","N","N",-0-,"mﬁº:{∞}Û","MS",-0-,980.
"marsh","SC25A","226.1","N","Y",-0-,"m·æ{±ø}Û","MS","SUG/OLD",980.
"marshes","SC25B","226.2","N","N","on coast","mµæ∫¥´Û±øºz","MS",-0-,981.
"marsh","SC25C!","226.3!","N","N","not quite as wet as swamp; salt","mﬁ∫∞Û","MS",-0-,982.
"marsh","SC25C!","226.3!","N","N","not quite as wet as swamp; salt","mﬁ∫∞›Û","MS",-0-,982.
"marsh land","SC26A","227.1","O","N",-0-,"Âmﬁ∫∞Û$ıl·∫{∞}n","MS",-0-,983.
"marshes","SC26B!","227.2!","N","Y","""never been to coast over half dozen times''","mﬁ∫∞Û±øºz","MS","AMS",984.
"salt water marsh","SC26B!","227.2!","O","N","""never been to coast over half dozen times''","Âs∑∫{∞}lt$ıw∑∫∞tê∞$mﬁ∫∞Û","MS",-0-,984.
"marsh","SC27A","228.1","N","N",-0-,"mﬁº∫{∞}Û","MS",-0-,985.
"marsh land","SC27A","228.1","O","N",-0-,"Âmµæ∫∞Û$ıl·∫{∞}n","MS",-0-,985.
"marsh","SC27B","228.2","N","N","on coast","mﬁº∫∞›Û","MS",-0-,986.
"NR","SC28A","229.1",-0-,"N",-0-,-0-,"MS",-0-,987.
"marshes","SC28B","217.2","N","N",-0-,"mﬁ∫∞´Û±øz","MS",-0-,988.
"marsh","SC28C","229.2","N","N","on coast only","mﬁó∫∞Û","MS",-0-,989.
"NR","SC28D","229.3",-0-,"N",-0-,-0-,"MS",-0-,990.
"beach","SC29B","230.1(*)","N","Y",-0-,"bi∫tÛ","MS","DBT/HES",992.
"NR","SC29C","230.3",-0-,"N",-0-,-0-,"MS",-0-,993.
"NR","SC29D",-0-,-0-,"N",-0-,-0-,"MS",-0-,994.
"NR","SC29E",-0-,-0-,"N",-0-,-0-,"MS",-0-,995.
"marshy land","SC30A","231.1","O","N",-0-,"m∂º∫{∞é}Û±ø$l·∫{∞}n{d}","MS",-0-,996.
"marsh","SC30A","231.1","N","N","less used than swamp","m·∫Û","MS",-0-,996.
"marshes","SC30B","231.2","N","N","flooded at high tide","mﬁ∫{∞}Û±øºz","MS",-0-,997.
"NR","SC30C!","231.3!",-0-,"N",-0-,-0-,"MS",-0-,998.
"NR","SC31A","232.1",-0-,"N",-0-,-0-,"MS",-0-,999.
"NR","SC31B","232.2",-0-,"N",-0-,-0-,"MS",-0-,1000.
"NR","SC32A","233.1",-0-,"N",-0-,-0-,"MS",-0-,1001.
"NR","SC32B","233.2",-0-,"N",-0-,-0-,"MS",-0-,1002.
"NR","SC32C","233.3",-0-,"N",-0-,-0-,"MS",-0-,1003.
"NR","SC32D","233.4",-0-,"N",-0-,-0-,"MS",-0-,1004.
"NR","SC34A","235.1",-0-,"N",-0-,-0-,"MS",-0-,1007.
"NR","SC34C","235.3",-0-,"N",-0-,-0-,"MS",-0-,1009.
"NR","SC35A","236.1",-0-,"N",-0-,-0-,"MS",-0-,1010.
"NR","SC35C","236.3(*)",-0-,"N",-0-,-0-,"MS",-0-,1012.
"NA","SC35D",-0-,-0-,"N",-0-,-0-,"MS",-0-,1013.
"NA","SC35E!",-0-,-0-,"N",-0-,-0-,"MS",-0-,1014.
"NR","SC36A","237.1",-0-,"N",-0-,-0-,"MS",-0-,1015.
"salt marsh","SC36B","237.2","O","Y","""heard of it, but didn't know what 'twas''","Âs∂´oÏt$ımﬁé∫¥Û","MS","SUG/HRD",1016.
"what it was","SC36B","237.2","E","Y",-0-,"hw¶Ωt$Ât`wè¶Ωz","MS","INA",1016.
"NR","SC36C","237.3",-0-,"N",-0-,-0-,"MS",-0-,1017.
"NR","SC36D!","237.4!",-0-,"N",-0-,-0-,"MS",-0-,1018.
"savannas","SC37","238","N","N","swamp near the sea","s∞Â‚·n∞z","MS",-0-,1019.
"marsh","SC37","238","N","N",-0-,"mµæ¥Û","MS","CNV",1019.
"salt marshes","SC38N","N239","O","N","""flooded¢","Âs∂´ºoÏt$ım·Ω∫∞Û±øºz","MS","SIC",1020.
"salt marshes","SC38A","239.1","O","Y","""Charleston¢","Âs∂´o{Ï}t$ımﬁ∫{∞}Û±øºz","MS","SUG/HRD",1021.
"marsh","SC38B","239.2","N","N","doesn't know much","mﬁ∫{∞}Û","MS",-0-,1022.
"marsh land","SC38B","239.2","O","N","doesn't know much","Âmﬁ∫{∞}Û$ıl·∫{≤}n","MS",-0-,1022.
"NR","SC38C!","239.3!",-0-,"N",-0-,-0-,"MS",-0-,1023.
"salt marsh","SC38D!","239.4(*)!","O","N",-0-,"Âs∂´ºoÏ't$ımﬁ∫{∞}Û","MS",-0-,1024.
"NA","SC38E!",-0-,-0-,"N",-0-,-0-,"MS",-0-,1025.
"NR","SC39B!","240.2!",-0-,"N",-0-,-0-,"MS",-0-,1027.
"NR","SC40A","241.1",-0-,"N","doesn't know",-0-,"MS",-0-,1028.
"NR","SC40B","241.2",-0-,"N","doesn't know",-0-,"MS",-0-,1029.
"NR","SC41B","242.2",-0-,"N","not known of here",-0-,"MS",-0-,1031.
"NA","SC42M",-0-,-0-,"N",-0-,-0-,"MS",-0-,1033.
"NR","SC42A","243.1",-0-,"N","""never seen 'em¢",-0-,"MS",-0-,1034.
"salt marshes","SC42B!","243.2!","O","N",-0-,"Âs∂´º∑ºÏt$ımﬁ∫{∞}Û±øΩºz","MS",-0-,1035.
"marshes","SC42B!","243.2!","N","N",-0-,"mﬁ∫{∞}Û±øºz","MS",-0-,1035.
"salt marshes","SC42C!","243.3!","O","N",-0-,"s∂´º∫oºÏ$mﬁº∫Û±øΩºz","MS",-0-,1036.
"sea marshes","SC42C!","243.3!","O","N",-0-,"sii´$mﬁº∫Û±øΩºz","MS",-0-,1036.
"marsh","SC42C!","243.3!","N","N","usually signifies salt water","mﬁ∫{±ø}Û","MS",-0-,1036.
"marsh","SC42C!","243.3!","N","N","usually signifies salt water","mﬁº∫Û","MS",-0-,1036.
"marsh","SC42D!","243.4!","N","N",-0-,"mµæ∫{∞}Û","MS",-0-,1037.
"marsh tackies","SC42D!","243.4!","O","Y","same as marsh ponies","mµæ∫Û$t·k±øzè","MS","INA",1037.
"marsh ponies","SC42D!","243.4!","O","Y","same as marsh tackies","mµæ∫Û$poπ˛n±øz","MS","INA",1037.
"marsh","SC42D!","243.4!","N","N",-0-,"mµæ∫Û","MS",-0-,1037.
"marsh","SC42E!","243.5!","N","N","usually coast","mµæ{∞}Û","MS",-0-,1038.
"NR","SC43A","244.1",-0-,"N",-0-,-0-,"MS",-0-,1039.
"marsh","SC43C","244.3","N","N","big swamp","mﬁéº∫¥Û","MS",-0-,1041.
"marshes","SC43C","244.3","N","N",-0-,"mµéæ∫Û±øΩºz","MS",-0-,1041.
"marsh","SC44B","245.2","N","Y",-0-,"mﬁº∫{∞}Û","MS","HES",1043.
"marsh","GA1N","N246","N","N",-0-,"mµæ∫{∞´}Û","MS",-0-,1044.
"marsh","GA1N","N246","N","N",-0-,"mµæ∞Û","MS",-0-,1044.
"marsh","GA1A","246.1(*)","N","N",-0-,"mﬁº∫{∞}Û","MS","CNV",1045.
"marsh","GA1B","246.11","N","N","marsh grass","mﬁ∞Û","MS",-0-,1046.
"marsh grass","GA1B","246.11","O","Y",-0-,"Âmﬁ∞Û$ıgr·´∫s","MS","INA",1046.
"marsh","GA1C","246.2","N","N",-0-,"mµæ∫{∞}Û","MS",-0-,1047.
"marsh","GA1D","246.3","N","N",-0-,"mµæ∫{∞}Û","MS",-0-,1048.
"swamp","GA1E","246.4","N","N","salt","swè∂´∫{∞}mp","MS",-0-,1049.
"marshes","GA1F!","246.5!","N","N",-0-,"mµæ∫Û±øΩzè","MS",-0-,1050.
"marsh","GA1G!","246.6!","N","N",-0-,"mﬁ∫{∞}Û","MS",-0-,1051.
"marsh land","GA1G!","246.6!","O","N","marsh grass","Âmﬁº∫{∞}Û$ıl·{≤}n","MS",-0-,1051.
"marsh grass","GA1G!","246.6!","O","Y",-0-,"Âmﬁ∫∞Û$ıgÚá·{∞}s","MS","INA",1051.
"marshes","GA1H!","246.7!","N","N",-0-,"mﬁ∫{∞}Û±øΩºz","MS","CNV",1052.
"salt marshes","GA1H!","246.7!","O","N",-0-,"Âs∑Ωº∫{∞}lt$ımﬁº∫{∞}Û±øºz","MS",-0-,1052.
"NR","GA2N","N247",-0-,"N",-0-,-0-,"MS",-0-,1053.
"NR","GA2A","247.1",-0-,"N",-0-,-0-,"MS",-0-,1054.
"marsh hen","GA2B","247.2","O","Y","a game bird","Âmµæ∫¥›ΩÛ$h≤´∫{∞}n","MS","INA",1055.
"marsh land","GA3A","248.1","O","N",-0-,"Âmµæ:Û$la´æ{∞}nd","MS",-0-,1056.
"NR","GA3B","248.2",-0-,"N",-0-,-0-,"MS",-0-,1057.
"marsh","GA4N","N249","N","N","where salt marsh grass grows at mouth of salt","ma∫Û","MS","RN1",1058.
-0-,"GA4N","N249",-0-,-0-,"river; no trees",-0-,"MS","RN2",1058.
"marsh lands","GA4A","249.1","O","N","always salt","Âmµæ∫∞Û$ıl·∫{∞}nz","MS",-0-,1059.
"salt water marsh","GA4A","249.1","O","N",-0-,"Âs∑´º∫{∞}lt$ıw∑´º∫{∞}tê∞$Âmµæ∫∞Û","MS",-0-,1059.
"marsh grass","GA4A","249.1","O","N",-0-,"Âmµ∫¥Û$ıgrá·Ω∞s","MS",-0-,1059.
"salt marsh","GA4B","249.2","O","N","salt","Âs∑∫{∞}lt$mµ∫∞›Û","MS",-0-,1060.
"marsh","GA4B","249.2","N","N","salt","mµæ∫∞›Û","MS",-0-,1060.
"marsh","GA4B","249.2","N","N","salt","mµ∫∞›Û","MS",-0-,1060.
"marsh","GA4C!","249.3!","N","N",-0-,"mµæ∫∞Û","MS","CNV",1061.
"marsh land","GA4C!","249.3!","O","N",-0-,"Âmﬁº∫{∞}Û$ıl·∫{∞}n","MS",-0-,1061.
"hammocks","GA4C!","249.3!","N","Y","small grassy place in marsh","Âh·∫{∞}m∞´ks","MS","INA",1061.
"marsh land","GA5A","250.1","O","N","always salt here","Âmﬁ∫{∞}Û$ıl·Ω∫{∞}n","MS",-0-,1062.
"marsh grass","GA5A","250.1","O","Y",-0-,"Âm∂ó∫∞Û$ıgrá·Ω{∞}s","MS","INA/CNV",1062.
"marsh","GA5B","250.2","N","N",-0-,"mﬁó∫∞Û","MS","CNV",1063.
"marsh land","GA5C","250.3","O","N","usually salt water with cane and grass","Âm∂ó´∫∞Û$ıl·∫{∞}n","MS",-0-,1064.
"marsh","GA5D!","250.4!","N","N",-0-,"mﬁó∫∞›Û","MS",-0-,1065.
"marsh","GA5E!","250.5!","N","N","always salt","m∂î∫∞Û","MS",-0-,1066.
"marsh land","GA5E!","250.5!","O","N",-0-,"Âm∂ó∫{∞}Û$ıl·æ∫{∞}n","MS",-0-,1066.
"mud flat","GA5E!","250.5!","O","N",-0-,"Âm∏ód$ıflè·{∞}t","MS",-0-,1066.
"marsh","GA5E!","250.5!","N","N","always salt","m∂î∫∞›Û","MS","CNV",1066.
"boggy gut","GA6A","251.1","O","N",-0-,"Âb∑´∫{∞ó}g±ø´º$ıg∏óº{∞}t","MS",-0-,1067.
"mud flats","GA6A","251.1","O","N",-0-,"Âm∏óºd$ıflèa´{∞}ts","MS",-0-,1067.
"marsh land","GA6A","251.1","O","N",-0-,"Âm∂ó´∫{∞}Û$ıl·∫{∞}n","MS",-0-,1067.
"marsh has cedar trees","GA6A","251.1","S","Y",-0-,"Âmﬁóº∫{∞}Û$ıh·Ω∫{∞}z$Âsi∫d∞$ıtrèi∫z","MS","INA",1067.
"marshes is salt","GA6A","251.1","S","Y",-0-,"Âm∂ó∫{∞}Û±øºz$±øºz$Âs∑ó∫{∞}lt","MS","INA",1067.
"marsh","GA6A","251.1","N","N","usually salt","m∂ó∫{∞}Û","MS",-0-,1067.
"marshes","GA6B!","251.2!","N","N",-0-,"mﬁó∫{∞}Û±øºz","MS",-0-,1068.
"salt marshes","GA6B!","251.2!","O","N",-0-,"Âs∑∫{∞}lt$ımﬁó∫{∞}Û±øºz","MS",-0-,1068.
"marsh","GA8A","257.1","N","N","on coast","mµæ∫{∞é}Û","MS",-0-,1070.
"marsh","GA8B","257.2","N","N","salt; marsh grass","mﬁéó∫¥Û","MS",-0-,1071.
"marsh grass","GA8B","257.2","O","Y",-0-,"Âmﬁéó∫¥Û$ıgrá·Ω{∞}s","MS","INA",1071.
"marshes","GA9A","257A.1","N","N","marshy land","mµæ¥Û±øz","MS",-0-,1072.
"marshy","GA9A","257A.1","A","Y",-0-,"mµæ¥Û±ø","MS","INA",1072.
"marsh","GA9B","257A.2","N","N",-0-,"mµæ¥Û","MS",-0-,1073.
"marsh","GA10A","258.1","N","Y","only on the coast","mµ´¥Û","MS","SUG/HRD",1074.
"NR","GA10B","258.2",-0-,"N",-0-,-0-,"MS",-0-,1075.
"rush","GA11N","N258A","N","Y","""grass¢","r•{∞}Û","MS","INA",1076.
"marsh","GA11N","N258A","N","N",-0-,"m·Û","MS","CNV",1076.
"grass","GA11N","N258A","N","Y",-0-,"gr·{∞}Û","MS","INA",1076.
"marsh","GA11N","N258A","N","Y",-0-,"mµæ¥Û","MS","SUG",1076.
"NR","GA12A","259.1",-0-,"N",-0-,-0-,"MS",-0-,1077.
"marshes","GA12B!","259.2(.3)","N","N",-0-,"Âmµæ¥Û±øºz","MS",-0-,1078.
"marsh","GA13A","260.1","N","Y","sedge, grassland, even on river","mµæ∫Û","MS",-0-,1079.
"marsh","GA13A","260.1","N","Y","sedge, grassland, even on river; natural","m·Ω∫Û","MS","SUG/OLD",1079.
"marshes","GA13B!","260.2!","N","N",-0-,"mµæ∞Û±øz","MS",-0-,1080.
"marsh land","GA13B!","260.2!","O","N","grassy","Âmµæ∫∞Û$ıl·∫{∞}n","MS",-0-,1080.
"NR","GA14A","261.1",-0-,"N",-0-,-0-,"MS",-0-,1081.
"NR","GA14B","261.3",-0-,"N",-0-,-0-,"MS",-0-,1082.
"NR","GA14C","261.2",-0-,"N",-0-,-0-,"MS",-0-,1083.
"marsh","GA15A","262.1","N","N","grass","mµæ∫Û","MS",-0-,1084.
"marsh","GA15A","262.1","N","Y","grass","m·{±øΩ}Û","MS","SUG",1084.
"NR","GA15B","262.2",-0-,"N",-0-,-0-,"MS",-0-,1085.
"marshy land","GA16A","263.2","O","N","wet most of the time, grass and weeds, no trees","Âmµæ∫{∞}Û±ø´º$ıl·∫{≤}n","MS",-0-,1086.
"marshy land","GA16A","263.2","O","N","wet most of the time, grass and weeds, no trees","Âmﬁº∫{∞}Û±ø´º$ıl·∫{≤}n","MS",-0-,1086.
"marsh land","GA16B","263.1","O","N","on coast","Âmµæ∫∞Û$ıl·∫∞n","MS",-0-,1087.
"marsh","GA16C","263.21","N","N",-0-,"mµæ∫{∞}Û","MS",-0-,1088.
"marsh land","GA16C","263.21","O","N",-0-,"mµ∫{±øΩ}Û$l·´∫{∞}n","MS",-0-,1088.
"marshes","GA16D!","263.3!","N","N",-0-,"mﬁ∫{∞}Û±øºz","MS",-0-,1089.
"marsh grass land","GA16D!","263.3!","O","N",-0-,"Âmﬁ∫∞Û$ıgr·{∞º}s$Âl·´{≤}n","MS",-0-,1089.
"salt grass land","GA16D!","263.3!","O","N",-0-,"Âs∑´{l,}t$ıgr·{∞º}s$Âl·´{≤}n","MS",-0-,1089.
"marsh","GA17N","N264","N","Y",-0-,"mµæ∫∞Û","MS","SUG/DBT",1090.
"marsh","GA17","264","N","N",-0-,"mﬁº∫{±ø}Û","MS","SIC",1091.
"marsh","GA18A","264A.1","N","N",-0-,"mﬁº¥Û","MS",-0-,1092.
"marsh","GA18B","264A.2","N","N",-0-,"mµæ{¥}Û","MS",-0-,1093.
"flat land","GA19A","265.1","O","N","no familiarity with coast","Âflè·{∞}t$ıl·∫{∞}n","MS",-0-,1094.
"NR","GA19B","265.2",-0-,"N",-0-,-0-,"MS",-0-,1095.
"marsh grass","GA20A","266.1","O","Y",-0-,"mµ´∫¥Û$ıgrá·∫{∞}s","MS","INA",1096.
"ribbon grass","GA21A","267.1","O","Y",-0-,"Âr±b∞Ωn$ıgr·´{≤}s","MS","INA",1098.
"NR","GA21B","267.2",-0-,"N",-0-,-0-,"MS",-0-,1099.
"marsh","GA22A","268A.1","N","N",-0-,"mµæ∫¥Û","MS",-0-,1100.
"NR","GA22B","268A.2",-0-,"N",-0-,-0-,"MS",-0-,1101.
"marsh","GA23A","268.1","N","N",-0-,"m∂∫∞Û","MS",-0-,1102.
"marsh","GA23A","268.1","N","Y","Negroes; on coast","m·∫{∞}Û","MS","SUG/HRD",1102.
"marshes","GA23B","268.11","N","N",-0-,"mµæ∞Û±øz","MS",-0-,1103.
"marsh","GA23C","268.2","N","N",-0-,"mµæ∫∞Û","MS",-0-,1104.
"marshes","GA23D!","268.3","N","N","treeless, always salt","mµ∫∞Û±øºz","MS",-0-,1105.
"marsh","GA23E!","268.4!","N","N",-0-,"mﬁó∫{∞}Û","MS",-0-,1106.
"marsh","GA23F!","268.5!","N","N",-0-,"mﬁóº¥Û","MS",-0-,1107.
"marsh","GA23F!","268.5!","N","N",-0-,"mﬁ´º¥Û","MS",-0-,1107.
"NR","GA24N","N269",-0-,"N",-0-,-0-,"MS",-0-,1108.
"wet marsh","GA25N","N269A","O","N",-0-,"Âw≤t$ım·´Û","MS",-0-,1111.
"wet marsh","GA25N","N269A","O","N",-0-,"w≤t$m·Û","MS",-0-,1111.
"marshy","GA25N","N269A","A","Y",-0-,"mﬁ∞Û±ø","MS","INA",1111.
"marshes","GA26","270A","N","N",-0-,"mµæ∞Û±øz","MS","CNV",1112.
"marsh","GA26","270A","N","N",-0-,"mﬁ∫∞Û","MS","CNV",1112.
"NR","GA27!","270!",-0-,"N",-0-,-0-,"MS",-0-,1113.
"marsh land","GA28","271a","O","N","marsh hen","Âmµæ∫{∞}Û$ıl·∫{∞}n","MS",-0-,1114.
"marsh hen","GA28","271a","O","Y",-0-,"Âmµæ∫{∞}Û$h±∫{∞}n","MS","INA/CNV",1114.
"NR","GA29A","271.1",-0-,"N",-0-,-0-,"MS",-0-,1115.
"marsh","GA29B","271.2","N","N",-0-,"mﬁ∫∞Û","MS",-0-,1116.
"tide lands","GA30A","272.1(*)","O","Y",-0-,"Ât`a´æ∫±ød$ıl·´∫≤nz{zè}","MS","DBT",1117.
